date,title,trail_text,source,section,url,query,sentiment_text,news_vader_compound,news_vader_pos,news_vader_neu,news_vader_neg,news_sentiment_label
2021-11-06,Australian banks are opening up to cryptocurrency: what does it mean for you?,"The currencies are notorious for wild price fluctuations, damage to the environment and use by ransomware gangs",The Guardian,News,https://www.theguardian.com/news/2021/nov/07/australian-banks-are-opening-up-to-cryptocurrency-what-does-it-mean-for-you,"""Commonwealth Bank""","Australian banks are opening up to cryptocurrency: what does it mean for you? The currencies are notorious for wild price fluctuations, damage to the environment and use by ransomware gangs",-0.7269,0.0,0.821,0.179,negative
2021-11-08,Don’t fall for rate-raising banks pretending they are doing it tough,"Banks may have some justification for increasing their fixed mortgage rates, but there is none at all for lifting variable rates before the Reserve Bank does",The Guardian,Business,https://www.theguardian.com/business/grogonomics/2021/nov/09/dont-fall-for-rate-raising-banks-pretending-they-are-doing-it-tough,"""Commonwealth Bank""","Don’t fall for rate-raising banks pretending they are doing it tough Banks may have some justification for increasing their fixed mortgage rates, but there is none at all for lifting variable rates before the Reserve Bank does",-0.0129,0.032,0.935,0.033,neutral
2021-11-17,Daniel Andrews ‘won’t be deterred’ by Victoria protests; NT records eight new Covid cases; flood warnings for NSW – as it happened,All the day’s news as it happened,The Guardian,Australia news,https://www.theguardian.com/australia-news/live/2021/nov/17/australia-news-live-nt-covid-corona-katherine-victoria-nsw-pandemic-legislation-protesters-flooding-forbes,"""Commonwealth Bank""",Daniel Andrews ‘won’t be deterred’ by Victoria protests; NT records eight new Covid cases; flood warnings for NSW – as it happened All the day’s news as it happened,-0.4767,0.0,0.868,0.132,negative
2021-11-22,"‘Twilight’ for Australia’s housing boom as prices to fall 10% in 2023, CBA says",Commonwealth Bank expects a peak in 2022 and then a drop the following year as borrowing costs rise,The Guardian,Australia news,https://www.theguardian.com/australia-news/2021/nov/22/twilight-for-australias-housing-boom-as-prices-to-fall-10-in-2023-cba-says,"""Commonwealth Bank""","‘Twilight’ for Australia’s housing boom as prices to fall 10% in 2023, CBA says Commonwealth Bank expects a peak in 2022 and then a drop the following year as borrowing costs rise",-0.2732,0.0,0.937,0.063,negative
2021-11-22,Cryptocurrency ‘no passing fad’: minister warns against Australia being left behind,"Financial services minister Jane Hume has compared doubters to those who thought the iPhone would never take off, just days after an RBA caution over a crash",The Guardian,Technology,https://www.theguardian.com/technology/2021/nov/22/cryptocurrency-no-passing-fad-minister-warns-against-australia-being-left-behind,"""Commonwealth Bank""","Cryptocurrency ‘no passing fad’: minister warns against Australia being left behind Financial services minister Jane Hume has compared doubters to those who thought the iPhone would never take off, just days after an RBA caution over a crash",-0.6597,0.0,0.845,0.155,negative
2021-11-25,Shares in Australian-listed buy-now-pay-later companies plummet by up to 96%,"Zip’s announcement of $653m loss in August ‘shocked many’, as sector lost $1bn overall in 2021",The Guardian,Australia news,https://www.theguardian.com/australia-news/2021/nov/25/shares-in-australian-listed-buy-now-pay-later-companies-plummet-by-up-to-96,"""Commonwealth Bank""","Shares in Australian-listed buy-now-pay-later companies plummet by up to 96% Zip’s announcement of $653m loss in August ‘shocked many’, as sector lost $1bn overall in 2021",-0.34,0.074,0.772,0.154,negative
2021-11-25,PM targeted on integrity bill in question time – as it happened,This blog is now closed,The Guardian,Australia news,https://www.theguardian.com/australia-news/live/2021/nov/25/australia-politics-live-update-scott-morrison-religious-discrimination-legislation-vaccine-mandate-gay-students-teachers-covid-coronavirus-anthony-albanese-labor,"""Commonwealth Bank""",PM targeted on integrity bill in question time – as it happened This blog is now closed,0.3818,0.14,0.86,0.0,positive
2021-11-26,"Dutton ‘a dangerous personality’, Keating says as China responds to speech – as it happened",This blog is now closed,The Guardian,Australia news,https://www.theguardian.com/australia-news/live/2021/nov/26/australia-news-live-update-flood-warnings-as-more-heavy-rain-hits-nsw-australian-police-and-defence-personnel-fly-to-solomon-islands-religious-freedom-gay-students-teachers-scott-morrison-covid-south-africa-variant,"""Commonwealth Bank""","Dutton ‘a dangerous personality’, Keating says as China responds to speech – as it happened This blog is now closed",-0.4767,0.0,0.86,0.14,negative
2021-12-03,"‘Risky levels’: Australia is the drunkest country in the world, survey finds","While French drank most times a week, Australians surveyed got drunk an average of 27 times a year, almost double the global average",The Guardian,Australia news,https://www.theguardian.com/australia-news/2021/dec/03/risky-levels-australia-is-the-drunkest-country-in-the-world-new-survey-finds,"""Commonwealth Bank""","‘Risky levels’: Australia is the drunkest country in the world, survey finds While French drank most times a week, Australians surveyed got drunk an average of 27 times a year, almost double the global average",-0.34,0.0,0.934,0.066,negative
2021-12-08,‘An enormous opportunity’: Coalition to consult on a central bank digital currency,Treasurer Josh Frydenberg is promising a ‘comprehensive payments and crypto-asset reform plan’ that could result in better regulation,The Guardian,Technology,https://www.theguardian.com/technology/2021/dec/08/an-enormous-opportunity-coalition-to-consult-on-a-central-bank-digital-currency,"""Commonwealth Bank""",‘An enormous opportunity’: Coalition to consult on a central bank digital currency Treasurer Josh Frydenberg is promising a ‘comprehensive payments and crypto-asset reform plan’ that could result in better regulation,0.7269,0.208,0.792,0.0,positive
