date,title,trail_text,source,section,url,query
2015-08-20,"Banks have treated our housing market like a Ponzi scheme, and it's about to bust","Australia’s housing market is looking a lot like the US, Ireland and Spain before the global financial crisis. Why aren’t politicians more concerned?",The Guardian,Opinion,https://www.theguardian.com/commentisfree/2015/aug/20/banks-have-treated-our-housing-market-like-a-ponzi-scheme-and-its-about-to-bust,"""Commonwealth Bank"""
2015-09-03,NAB rules out funding Adani's Carmichael mine as buyer LG pulls out,Australia’s biggest proposed coal project loses 4m tonne deal with one of its two big customers as the country’s fourth-largest bank publicly distances itself,The Guardian,Business,https://www.theguardian.com/business/2015/sep/03/nab-rules-out-funding-adanis-carmichael-mine-as-buyer-lg-pulls-out,"""Commonwealth Bank"""
2015-10-06,ANZ 'will not finance' dirty coal plants and pledges $10bn for clean energy,Bank rules out funding ‘conventional coal-fired power plants’ that do not use proven technologies to significantly reduce emissions,The Guardian,Business,https://www.theguardian.com/business/2015/oct/06/anz-will-not-finance-dirty-coal-plants-and-pledges-10bn-for-clean-energy,"""Commonwealth Bank"""
2015-10-15,"Gee, Westpac must have thought hard about passing on the cost of regulation to customers","After announcing an increase in profits, Westpac announced on Wednesday it would be raising mortgage rates to cover the cost of making it more secure",The Guardian,Business,https://www.theguardian.com/business/grogonomics/2015/oct/15/westpac-to-pass-on-cost-of-regulation-to-customers-despite-profit-increase,"""Commonwealth Bank"""
2015-10-19,Turnbull government to crack down on excessive credit card surcharges,Move to enshrine the objective of the superannuation system in legislation amid measures announced in response to Murray review of financial system,The Guardian,Money,https://www.theguardian.com/money/2015/oct/20/turnbull-government-to-crack-down-on-excessive-credit-card-surcharges,"""Commonwealth Bank"""
2015-10-20,New poll narrows Coalition's lead over Labor – politics live,"The Turnbull government unveils its response to the Murray inquiry into the financial system, while the Human Rights Commission president calls for greater oversight of immigration detention centres. All the developments from Canberra, live",The Guardian,Australia news,https://www.theguardian.com/australia-news/live/2015/oct/20/turnbull-to-unveil-new-banking-regulations-politics-live,"""Commonwealth Bank"""
2015-10-20,Turnbull's financial system changes: how they affect you,"From ending credit card surcharges to greater choice for super funds, the changes could benefit consumers but may come at a price if banks pass on the costs",The Guardian,Business,https://www.theguardian.com/business/2015/oct/20/turnbulls-financial-system-changes-how-they-affect-you,"""Commonwealth Bank"""
2015-10-20,Credit card crackdown: companies must charge only real costs,Scott Morrison says some companies have been passing on inflated surcharges of up to 10% when transaction costs them only half a per cent,The Guardian,Australia news,https://www.theguardian.com/australia-news/2015/oct/21/credit-card-crackdown-companies-must-charge-only-real-costs,"""Commonwealth Bank"""
2015-10-22,Labor builds the pressure over marriage equality – politics live,"Labor attacks the royal commission into trade unions over its request for personal details of 9,000 members, and it launches a new policy on the sharing economy, as the Coalition’s internal debate about marriage equality gets a blustery second wind. All the developments from Canberra, live",The Guardian,Australia news,https://www.theguardian.com/australia-news/live/2015/oct/22/eric-abetz-declares-renewed-marriage-equality-push-an-ambush-politics-live,"""Commonwealth Bank"""
2015-10-23,"Mortgage rate rises are too little, too late to save Australia's bloated banking sector","Despite recent mortgage interest rate rises, Australian banks are more exposed to the risk of a housing market shock than ever before",The Guardian,Business,https://www.theguardian.com/business/2015/oct/24/mortgage-rate-rises-are-too-little-late-to-save-australias-bloated-banking-sector,"""Commonwealth Bank"""
2015-11-02,"Australian banks face falling profits, rising costs and closures, report warns","After nearly 20 years of growth on back of mining and housing booms, KPMG report says banks must tackle challenges or lose to stronger competition",The Guardian,Business,https://www.theguardian.com/business/2015/nov/02/banks-face-falling-profits-rising-costs-and-branch-closures-report-warns,"""Commonwealth Bank"""
2015-11-30,"Personal, political, persistent: how the campaign for marriage equality learned the hard way","After more than a decade, the Australian Marriage Equality campaign is one of the most well-honed of its kind, bringing together gay and straight supporters and targeting politicians. Now success looks like it will ultimately depend on a plebiscite of all voters. A special report by <strong>Brigid Delaney</strong> ",The Guardian,Australia news,https://www.theguardian.com/australia-news/2015/nov/30/personal-political-persistent-how-the-campaign-for-marriage-equality-learned-the-hard-way,"""Commonwealth Bank"""
2015-12-01,No more 'business as usual' for Australia as climate change hits economy for $8bn,"Risks around extreme weather are high for Australian companies, but there are also plenty of opportunities to benefit from the ‘business boom’",The Guardian,Guardian Sustainable Business,https://www.theguardian.com/sustainable-business/2015/dec/01/no-more-business-as-usual-for-australia-as-climate-change-hits-economy-for-8bn,"""Commonwealth Bank"""
2015-12-01,New generation wave energy: could it provide one third of Australia's electricity?,"A company called Carnegie Wave Energy is pushing the boundaries of wave-energy technology, and Australian island and coastal communities could be the first to take advantage of it",The Guardian,Guardian Sustainable Business,https://www.theguardian.com/sustainable-business/2015/dec/01/new-generation-wave-energy-could-it-provide-one-third-of-australias-electricity,"""Commonwealth Bank"""
2015-12-15,Australian share market hits two-year low after sixth straight day of losses,Banks and mining companies continue to drag the ASX/S&amp;P 200 lower amid uncertainty about the US Fed rate decision and continued low commodity prices,The Guardian,Business,https://www.theguardian.com/business/2015/dec/15/australian-share-market-hits-two-year-low-after-sixth-straight-day-of-losses,"""Commonwealth Bank"""
2016-01-13,No compensation from electricity firm after Storm Desmond power cuts,Electricity North West says no payments will be made despite having encouraged customers to apply for compensation,The Guardian,UK news,https://www.theguardian.com/uk-news/2016/jan/13/electricity-firm-retracts-compensation-pledge-storm-desmond-power-cuts,"""Commonwealth Bank"""
2016-02-10,Australian share market enters bear territory as billions wiped off value,Almost $20bn lost from the value of companies as ASX/S&amp;P 200 falls to lowest level since 2013,The Guardian,Australia news,https://www.theguardian.com/australia-news/2016/feb/10/australian-share-market-enters-bear-territory-as-billions-wiped-off-value,"""Commonwealth Bank"""
2016-02-25,Australia's biggest banks pump billions into fossil fuels despite climate pledges,"Amid dire warnings for the future of coal, the lenders signed off on $5.5bn worth of deals for the sector in 2015, according to analysis by activist group",The Guardian,Environment,https://www.theguardian.com/environment/2016/feb/26/australias-biggest-banks-pump-billions-into-fossil-fuels-despite-climate-pledges,"""Commonwealth Bank"""
2016-03-08,Asic examines claims CommInsure avoiding payouts to sick and dying,Insurance arm of Commonwealth Bank reportedly delaying or rejecting patients’ claims based on outdated criteria,The Guardian,Business,https://www.theguardian.com/business/2016/mar/08/asic-examines-claims-comminsure-avoiding-payouts-to-sick-and-dying,"""Commonwealth Bank"""
2016-03-28,'Billionaire' tradesman may have used fake banking app to dupe lawyer,"Phillip Harrison could face prosecution for perverting the course of justice if it’s proved he misled his lawyer into presenting fake evidence about his wealth in court, says Queensland Law Society president",The Guardian,Australia news,https://www.theguardian.com/australia-news/2016/mar/28/billionaire-tradesman-may-have-used-fake-banking-app-to-dupe-lawyer,"""Commonwealth Bank"""
2016-04-07,Shorten won’t rule out Labor support for a bank royal commission,"Treasurer Scott Morrison calls Shorten’s statement “a distraction”, but support for a bank royal commission grows",The Guardian,Australia news,https://www.theguardian.com/australia-news/2016/apr/07/shorten-wont-rule-out-labor-support-for-a-bank-royal-commission,"""Commonwealth Bank"""
2016-04-08,Labor calls for banking and financial services royal commission,Bill Shorten says scandals reveal systemic problems and Labor will act if the government does not,The Guardian,Business,https://www.theguardian.com/business/2016/apr/08/labor-calls-for-banking-and-financial-services-royal-commission,"""Commonwealth Bank"""
2016-04-15,They make enormous profit and rip customers off – banks need to clean up their act,Imagine what might be found by a royal commissioner looking into banks with the passion Dyson Heydon had for looking into unions ,The Guardian,Opinion,https://www.theguardian.com/commentisfree/2016/apr/15/the-big-banks-need-to-clean-up-their-culture-but-they-cant-do-it-themselves,"""Commonwealth Bank"""
2016-04-16,Breaking borders: how to make the best bookshop in the world,"The independent chain was awarded International Bookstore of the Year this week. According to Readings’ manager Mark Rubbo, it’s all about community",The Guardian,Books,https://www.theguardian.com/books/2016/apr/16/breaking-borders-how-to-make-the-best-bookshop-in-the-world,"""Commonwealth Bank"""
2016-04-21,"Queensland mining job losses dwarfed by new services jobs, says report","Mining shed 22,000 jobs 2013–2015, but health and community services created almost double that number, education added 34,000 and tourism 27,000 ",The Guardian,Australia news,https://www.theguardian.com/australia-news/2016/apr/21/queensland-mining-job-losses-dwarfed-by-new-services-jobs-says-report,"""Commonwealth Bank"""
2016-04-22,History is on Turnbull's side in double-dissolution gamble – but only just,Four of the six Australian governments that called double dissolution elections won – but there are no guarantees for the Coalition in 2016,The Guardian,Australia news,https://www.theguardian.com/australia-news/2016/apr/22/malcolm-turnbulls-double-dissolution-election-gamble-gough-whitlam,"""Commonwealth Bank"""
2016-05-03,Parliament winds up business to await treasurer's speech – as it happened,It’s budget day in the national capital,The Guardian,Australia news,https://www.theguardian.com/australia-news/live/2016/may/03/budget-2016-morrison-says-australia-will-live-within-its-means-politics-live,"""Commonwealth Bank"""
2016-05-05,Budget 2016: Bill Shorten unveils $71bn in savings over 10 years,Opposition leader says Labor wouldn’t proceed with Coalition’s business tax cuts and would retain deficit levy on high-income earners,The Guardian,Australia news,https://www.theguardian.com/australia-news/2016/may/05/budget-reply-speech-bill-shorten-claims-savings-for-election-war-chest,"""Commonwealth Bank"""
2016-05-05,Budget reply speech: Bill Shorten claims savings for election war chest – as it happened,"Labor vows to put people first by opposing big business cut, retaining the 2% deficit levy on high-income earners and cracking down on private colleges. All the developments from Canberra",The Guardian,Australia news,https://www.theguardian.com/australia-news/live/2016/may/05/tony-abbott-suggests-the-mining-industry-should-demonstrate-their-gratitude-to-ian-macfarlane-politics-live,"""Commonwealth Bank"""
2016-05-09,Reserve Bank may cut interest rates to 1% to deal with deflationary spiral,Lower rates would be a major boost for mortgage holders but it would be bad news for retirees and savers,The Guardian,Australia news,https://www.theguardian.com/australia-news/2016/may/09/reserve-bank-may-cut-interest-rates-to-1-to-deal-with-deflationary-spiral,"""Commonwealth Bank"""
2016-05-17,Climate change: Australia's big banks urged to reject new loans for coal projects,<strong>Exclusive: </strong>Market Forces says halt to refinancing existing loans would also test banks’ support for 2C warming target,The Guardian,Business,https://www.theguardian.com/business/2016/may/18/australia-climate-change-big-four-banks-urged-to-reject-new-loans-for-coal-projects,"""Commonwealth Bank"""
2016-06-08,Malcolm Turnbull insists bank inquiry unnecessary after fresh rate-rigging case,Labor redoubles efforts to push for bank royal commission after regulator launches legal action against National Australia Bank,The Guardian,Australia news,https://www.theguardian.com/australia-news/2016/jun/08/malcolm-turnbull-insists-bank-inquiry-unnecessary-after-fresh-rate-rigging-case,"""Commonwealth Bank"""
2016-06-19,Election 2016: Bill Shorten promises to reverse health cuts and reveals jobs plan,Labor leader promises to protect Medicare and unveils plan to give small businesses a tax break in exchange for new jobs,The Guardian,Australia news,https://www.theguardian.com/australia-news/2016/jun/19/election-2016-bill-shorten-promises-to-reverse-health-cuts-and-reveals-jobs-plan,"""Commonwealth Bank"""
2016-06-23,Brexit and Australia: what would be the consequences if Britain left the EU?,"Migration rules, trade and the value of the dollar could all be shaken up if Britons vote to go it alone",The Guardian,Australia news,https://www.theguardian.com/australia-news/2016/jun/23/brexit-and-australia-what-would-be-the-consequences-if-britain-left-the-,"""Commonwealth Bank"""
2016-06-24,Brexit panic wipes $2 trillion off world markets - as it happened," World markets have slumped in Europe, America and Asia, as economists predict that Brexit vote will push UK into recession ",The Guardian,Business,https://www.theguardian.com/business/live/2016/jun/24/global-markets-ftse-pound-uk-leave-eu-brexit-live-updates,"""Commonwealth Bank"""
2016-06-27,Q&A: Tanya Plibersek says Labor has '40 years of evidence' to back Medicare claim,Deputy Labor leader says Coalition revealed agenda through attempts to charge patients for GP visits ,The Guardian,Australia news,https://www.theguardian.com/australia-news/2016/jun/28/qa-tanya-plibersek-says-labor-has-40-years-of-evidence-to-back-medicare-claim,"""Commonwealth Bank"""
2016-06-30,Richard Di Natale: Greens will not deal on closing offshore processing centres,The Greens leader says: ‘Our policy will never change. We want those camps closed’,The Guardian,Australia news,https://www.theguardian.com/australia-news/2016/jun/30/richard-di-natale-greens-will-not-deal-on-closing-offshore-processing-centres,"""Commonwealth Bank"""
2016-07-01,Pumping up a listless economy will give whoever wins a run for their money,"Despite the economy growing at an average 3.25% a year for 25 years, it still feels sluggish – so the new government won’t have much fiscal space to play with",The Guardian,Business,https://www.theguardian.com/business/2016/jul/01/pumping-up-a-listless-economy-will-give-whoever-wins-a-run-for-their-money,"""Commonwealth Bank"""
2016-07-04,Climate change: big four banks' lending to Australian renewables projects falls,Market Forces finds only two financing deals closed in first half of 2016 despite banks’ purported support for sector,The Guardian,Environment,https://www.theguardian.com/environment/2016/jul/04/climate-change-big-four-banks-lending-to-australian-renewables-projects-falls,"""Commonwealth Bank"""
2016-07-27,ACCC's Rod Sims says privatisations 'severely damaging' economy,Australian Competition and Consumer Commission chairman says governments need ‘uppercut’ for putting profits first,The Guardian,Australia news,https://www.theguardian.com/australia-news/2016/jul/27/acccs-rod-sims-says-privatisations-severely-damaging-economy,"""Commonwealth Bank"""
2016-08-01,Interest rate cut up in the air as Reserve Bank faces 'challenging times',"The treasurer, Scott Morrison, says economic conditions are difficult ‘and this is a really big challenge for the country’",The Guardian,Australia news,https://www.theguardian.com/australia-news/2016/aug/02/interest-rate-cut-up-in-the-air-as-reserve-bank-faces-challenging-times,"""Commonwealth Bank"""
2016-08-02,Reserve Bank of Australia: RBA cuts the cash rate to all-time low of 1.5% – as it happened,"Will the combination of low inflation, falling building approvals and poor trade figures be enough to see interest rates cut to another all-time low? Follow live updates with Greg Jericho and Martin Farrer",The Guardian,Business,https://www.theguardian.com/business/blog/live/2016/aug/02/reserve-bank-of-australia-rba-meets-to-decide-on-cash-rate-live,"""Commonwealth Bank"""
2016-08-02,Treasurer denies interest rate cut to record low 1.5% is a bad sign for economy,Scott Morrison says the budget could take a hit worth billions of dollars but global trend of low interest rates does not mean Australia is struggling,The Guardian,Australia news,https://www.theguardian.com/australia-news/2016/aug/02/reserve-bank-slashes-australias-cash-rate-to-record-low-of-15,"""Commonwealth Bank"""
2016-08-02,Bank​ royal commission: government would be crazy brave to stand in the way,Allegations of financial misconduct have been around for years and pressure for a royal commission is building ,The Guardian,Australia news,https://www.theguardian.com/australia-news/2016/aug/02/bank-royal-commission-government-would-be-crazy-brave-to-stand-in-the-way,"""Commonwealth Bank"""
2016-08-02,UK construction shrinks at fastest pace in seven years – as it happened,"Data expected to raise pressure for Bank of England rate cut, as Reserve Bank of Australia cuts interest rates to record low",The Guardian,Business,https://www.theguardian.com/business/blog/live/2016/aug/02/uk-construction-to-suffer-another-slide-in-activity-business-live,"""Commonwealth Bank"""
2016-08-04,"Bank bosses will be forced to explain their actions every year, Malcolm Turnbull announces",Opposition leader’s call comes after former Reserve Bank board member John Edwards backed inquiry and PM called on banks to pass on RBA rate cut in full,The Guardian,Australia news,https://www.theguardian.com/australia-news/2016/aug/04/shorten-royal-commission-banks-respect-goverment,"""Commonwealth Bank"""
2016-08-05,Whistleblower says parliamentary committee on banking 'just for show',"Jeff Morris, who revealed a scandal at Commonwealth Bank, also questions what donations banks made to the Liberal party",The Guardian,Australia news,https://www.theguardian.com/australia-news/2016/aug/05/whistleblower-says-parliamentary-committee-on-banking-just-for-show,"""Commonwealth Bank"""
2016-08-09,Labor plans new attack on banks as Commonwealth makes record $9.45bn profit,The country’s biggest bank said after-tax profits rose 3% in the past 12 months helped by retail and small business lending ,The Guardian,Australia news,https://www.theguardian.com/australia-news/2016/aug/10/labor-credit-card-rates-banking-commbank-profit-statement,"""Commonwealth Bank"""
2016-08-10,Commonwealth Bank chief says not passing on full interest rate cut helps savers,Ian Narev argues mortgage holders are not the only people to worry about when record low interest rates had hurt his deposit holders ,The Guardian,Australia news,https://www.theguardian.com/australia-news/2016/aug/10/commonwealth-bank-chief-says-not-passing-on-full-interest-rate-cut-helps-savers,"""Commonwealth Bank"""
