date,news_sentiment_mean,news_sentiment_std,news_positive_ratio,news_negative_ratio,news_headline_volume
2016-10-18,0.306143,0.0,0.0,0.0,1
2016-11-16,-0.89421105,0.0,0.0,1.0,1
2016-11-20,-0.30672964,0.43790376,0.0,0.5,2
2016-11-21,-0.83321667,0.0,0.0,1.0,1
2016-11-24,-0.9193291,0.0,0.0,1.0,1
2016-11-28,-0.019278184,0.0,0.0,0.0,1
2016-11-30,-0.80932593,0.18091732,0.0,1.0,2
2016-12-05,-0.9099361,0.018119983,0.0,1.0,2
2016-12-07,-0.9622493,0.0,0.0,1.0,1
2016-12-11,0.85770607,0.0,1.0,0.0,1
2016-12-15,-0.17640817,0.0,0.0,0.0,1
2016-12-22,-0.83053565,0.0,0.0,1.0,1
2016-12-31,-0.51247114,0.0,0.0,1.0,1
2017-01-06,-0.89130664,0.0,0.0,1.0,1
2017-02-06,0.2320901,0.0,0.0,0.0,1
2017-02-17,-0.50266427,0.0,0.0,1.0,1
2017-02-18,-0.40496635,0.0,0.0,1.0,1
2017-03-05,0.718662,0.0,1.0,0.0,1
2017-03-07,-0.8431301,0.0,0.0,1.0,1
2017-03-08,-0.73961306,0.0,0.0,1.0,1
2017-03-18,-0.8512697,0.0,0.0,1.0,1
2017-03-21,-0.35783875,0.0,0.0,0.0,1
2017-03-22,-0.8802045,0.0,0.0,1.0,1
2017-03-24,0.18958682,0.0,0.0,0.0,1
2017-03-29,-0.9080095,0.030734535,0.0,1.0,2
2017-03-31,-0.63461095,0.08034155,0.0,1.0,3
2017-04-02,0.43446884,0.0,0.0,0.0,1
2017-04-04,-0.47916114,0.45721906,0.0,1.0,2
2017-04-07,0.01512878,0.0,0.0,0.0,1
2017-04-11,-0.946303,0.0,0.0,1.0,1
2017-04-20,-0.2550362,0.0,0.0,0.0,1
2017-04-25,-0.065016985,0.0,0.0,0.0,1
2017-04-27,0.05802912,0.0,0.0,0.0,1
2017-04-28,-0.93170905,0.0,0.0,1.0,1
2017-05-01,-0.94440305,0.0,0.0,1.0,1
2017-05-04,0.7475046,0.0,1.0,0.0,1
2017-05-10,-0.47943702,0.6215379,0.0,0.5,2
2017-05-11,0.017144784,0.0,0.0,0.0,1
2017-05-15,-0.9067829,0.0,0.0,1.0,1
2017-05-16,0.06202565,0.22699144,0.5,0.0,2
2017-05-17,-0.03143356,0.223153,0.0,0.0,2
2017-05-22,-0.7388957,0.30770445,0.0,1.0,2
2017-05-23,-0.36397216,0.56234753,0.0,0.5,2
2017-05-24,-0.37761724,0.0,0.0,0.0,1
2017-05-25,0.12818596,0.017182544,0.5,0.0,2
2017-05-29,0.49244404,0.0,1.0,0.0,1
2017-05-31,-0.02548591,0.0,0.0,0.0,1
2017-06-01,-0.24578859,0.0,0.0,0.0,1
2017-06-03,-0.64658934,0.0,0.0,1.0,1
2017-06-07,-0.008264482,1.2233695,0.5,0.5,2
2017-06-09,-0.960822,0.0,0.0,1.0,1
2017-06-13,-0.93901575,0.0,0.0,1.0,1
2017-06-18,0.16834271,0.0,0.0,0.0,1
2017-06-20,-0.92043704,0.0,0.0,1.0,1
